78	لیکوییتی یو اس دی 	Liquity USD	LUSD	1.02	333,000	0.00%	1401/04/2 11:43
80	کلیتن	Klaytn	KLAY	0.24823	81,000	0.30%	1401/04/2 13:01
81	USDD	USDD	USDD	0.975605	318,500	0.29%	1401/04/2 13:01
83	ویوز	Waves	WAVES	6.41	2,092,400	2.56%	1401/04/2 13:01
84	فانتوم	Fantom	FTM	0.271504	88,600	4.09%	1401/04/2 13:01
85	اوکی بی	OKB	OKB	11.41	3,724,600	1.42%	1401/04/2 13:01
86	کوانت	Quant	QNT	55.12	17,992,800	0.88%	1401/04/2 13:01
87	ثور چین	THORChain	RUNE	1.98	646,300	10.61%	1401/04/2 12:56
88	نئو	Neo	NEO	9.2	3,003,200	2.34%	1401/04/2 13:01
89	پکس گلد	PAX Gold	PAXG	1841.18	601,016,400	0.08%	1401/04/2 13:01
90	بیسیک اتنشن توکن	Basic Attention Token	BAT	0.390431	127,400	4.59%	1401/04/2 13:01
91	چیلیز	Chiliz	CHZ	0.096383	31,500	3.79%	1401/04/2 13:01
92	زیلیکا	Zilliqa	ZIL	0.040943	13,400	3.07%	1401/04/2 13:01
93	لوپرینگ	Loopring	LRC	0.398444	130,100	3.50%	1401/04/2 13:01
94	استیکس	Stacks	STX	0.394268	128,700	2.62%	1401/04/2 13:01
96	دش	Dash	DASH	47.18	15,401,000	2.79%	1401/04/2 13:01
97	دیفای چین	DeFiChain	DFI	0.992762	324,100	0.34%	1401/04/2 13:01
98	BitTorrent	BitTorrent	BTTOLD	0.000489	200	0.61%	1401/04/2 12:55
99	پنکیک سواپ	PancakeSwap	CAKE	3.13	1,021,700	1.95%	1401/04/2 13:01

0	بیت کوین	Bitcoin	BTC	20585.06	6,713,817,300	2.09%	1401/04/2 14:02
1	اتریوم	Ethereum	ETH	1103.62	359,945,700	2.37%	1401/04/2 14:02
2	بایننس کوین	Binance Coin	BNB	222.99	72,728,200	2.82%	1401/04/2 14:02
3	تتر	Tether	USDT	0.999239	325,650	0.03%	1401/04/2 14:02
4	یو اس دی کوین	USD Coin	USDC	0.999953	326,100	0.00%	1401/04/2 14:01
5	BNB	BNB	BNB	222.99	72,728,200	2.82%	1401/04/2 13:59
6	بایننس یو اس دی	Binance USD	BUSD	1.0	326,200	0.01%	1401/04/2 13:59
7	کاردانو	Cardano	ADA	0.472507	154,100	0.85%	1401/04/2 14:02
8	ریپل	Ripple	XRP	0.327621	106,900	1.51%	1401/04/2 14:02
9	سولانا	Solana	SOL	36.36	11,858,800	5.51%	1401/04/2 14:01
11	دوج کوین	Dogecoin	DOGE	0.064033	20,900	2.46%	1401/04/2 14:02
12	پولکا دات	Polkadot	DOT	7.58	2,472,200	0.00%	1401/04/2 14:01
13	هگز	HEX	HEX	0.041737	13,600	0.59%	1401/04/2 14:01
15	دای	Dai	DAI	1.0	326,200	0.03%	1401/04/2 12:43
16	Wrapped TRON	Wrapped TRON	WTRX	0.064079	20,900	0.71%	1401/04/2 12:56
17	ترون	TRON	TRX	0.063855	20,800	0.33%	1401/04/2 14:02
19	یو ان یو اس سد لئو	UNUS SED LEO	LEO	5.93	1,934,100	2.95%	1401/04/2 13:59
20	شیبا اینو	SHIBA INU	SHIB	1e-05	3	11.11%	1401/04/2 14:01
21	رپد بیت کوین	Wrapped Bitcoin	WBTC	20590.69	6,715,653,500	2.11%	1401/04/2 13:59
22	آوالانچ	Avalanche	AVAX	17.55	5,723,900	6.88%	1401/04/2 14:01
24	یوکَش	yOUcash	YOUC	0.500138	163,100	0.02%	1401/04/2 14:01
25	پالیگان	Polygon	MATIC	0.496933	162,100	7.36%	1401/04/2 13:59
26	لایت کوین	Litecoin	LTC	55.16	17,990,400	6.18%	1401/04/2 14:02
27	یونی سواپ	Uniswap	UNI	5.25	1,712,300	1.35%	1401/04/2 14:01
28	Lido Staked ETH	Lido Staked ETH	STETH	1048.49	341,965,000	2.90%	1401/04/2 14:01
29	اف تی ایکس توکن	FTX Token	FTT	25.85	8,431,000	0.98%	1401/04/2 13:59
30	چین لینک	Chainlink	LINK	6.92	2,257,000	4.22%	1401/04/2 14:01
31	Cronos	Cronos	CRO	0.118561	38,700	2.71%	1401/04/2 13:59
32	استلار	Stellar	XLM	0.117393	38,300	3.28%	1401/04/2 14:02
34	نیر پروتکل	NEAR Protocol	NEAR	3.45	1,125,200	3.29%	1401/04/2 13:52
35	بیت تورنت	BitTorrent	BTT	0.002329	800	0.00%	1401/04/2 14:01
36	الگوراند	Algorand	ALGO	0.323238	105,400	0.73%	1401/04/2 13:59
37	بیت کوین کش	Bitcoin Cash	BCH	116.35	37,947,600	1.18%	1401/04/2 14:02
38	کازماز	Cosmos	ATOM	7.67	2,501,600	4.50%	1401/04/2 14:01
39	بیتکوین بی ای پی 2	Bitcoin BEP2	BTCB	20552.32	6,703,139,200	1.61%	1401/04/2 14:01
40	مونرو	Monero	XMR	117.26	38,244,300	2.25%	1401/04/2 14:02
41	اتریوم کلاسیک	Ethereum Classic	ETC	15.62	5,094,500	1.49%	1401/04/2 14:02
42	Chain	Chain	XCN	0.087706	28,600	1.40%	1401/04/2 14:01
43	وی چین	VeChain	VET	0.02365	7,700	2.39%	1401/04/2 13:59
44	دیسنترالند	Decentraland	MANA	0.88537	288,800	4.73%	1401/04/2 13:59
45	فلو	Flow	FLOW	1.57	512,100	5.37%	1401/04/2 14:01
46	هدِرا	Hedera	HBAR	0.072959	23,800	1.11%	1401/04/2 13:59
47	فرکس	Frax	FRAX	1.0	326,200	0.14%	1401/04/2 13:57
48	اینترنت کامپیوتر	Internet Computer	ICP	5.67	1,849,300	1.43%	1401/04/2 13:59
49	الروند	Elrond	EGLD	58.97	19,233,100	0.61%	1401/04/2 14:01
50	Toncoin	Toncoin	TON	1.07	349,000	0.00%	1401/04/2 12:36
51	فایل کوین	Filecoin	FIL	5.77	1,881,900	2.12%	1401/04/2 14:01
52	ایپ کوین	APEcoin	APE	4.28	1,395,900	3.88%	1401/04/2 13:59
53	تتا نتورک	Theta Network	THETA	1.28	417,500	3.23%	1401/04/2 13:39
55	د سندباکس	The Sandbox	SAND	0.998297	325,600	4.15%	1401/04/2 14:01
56	تزوس	Tezos	XTZ	1.41	459,900	2.92%	1401/04/2 14:01
57	هلیوم	Helium	HNT	10.53	3,434,400	3.74%	1401/04/2 13:59
58	ترو یو اس دی	TrueUSD	TUSD	1.0	326,200	0.00%	1401/04/2 13:18
59	بیت کوین اس وی	Bitcoin SV	BSV	63.07	20,570,300	0.77%	1401/04/2 13:59
60	اکسی اینفینیتی	Axie Infinity	AXS	14.51	4,732,400	2.98%	1401/04/2 13:59
61	رپد ان بی ان	Wrapped BNB	WBNB	222.23	72,480,300	2.50%	1401/04/2 14:01
62	کوکوین توکن	KuCoin Token	KCS	10.41	3,395,200	1.34%	1401/04/2 13:59
63	ایاس	EOS	EOS	0.96064	313,300	2.75%	1401/04/2 14:02
64	پکس دالر	Pax Dollar	USDP	1.0	326,200	0.17%	1401/04/2 13:59
65	زد کش	Zcash	ZEC	64.68	21,095,400	0.11%	1401/04/2 14:02
66	آوه	Aave	AAVE	67.98	22,171,700	5.62%	1401/04/2 13:59
67	میکر	Maker	MKR	935.55	305,129,600	1.01%	1401/04/2 14:01
69	میوتا	IOTA	MIOTA	0.306674	100,000	0.16%	1401/04/2 13:59
70	هوبی بی تی اس	Huobi BTC	HBTC	20582.45	6,712,966,100	2.15%	1401/04/2 14:01
71	هوبی توکن	Huobi Token	HT	5.19	1,692,700	0.78%	1401/04/2 13:52
74	نوترینو یو اس دی	Neutrino USD	USDN	0.995343	324,600	0.44%	1401/04/2 13:59
75	 د گراف	The Graph	GRT	0.111584	36,400	4.65%	1401/04/2 13:59
77	لیکوییتی یو اس دی 	Liquity USD	LUSD	1.02	332,700	0.00%	1401/04/2 11:43
78	ای کش	eCash	XEC	3.8e-05	12	2.70%	1401/04/2 09:01
80	کلیتن	Klaytn	KLAY	0.247671	80,800	0.53%	1401/04/2 13:59
81	USDD	USDD	USDD	0.97549	318,200	0.28%	1401/04/2 13:59
83	ویوز	Waves	WAVES	6.4	2,087,400	2.40%	1401/04/2 14:01
84	فانتوم	Fantom	FTM	0.270095	88,100	3.55%	1401/04/2 14:01
85	اوکی بی	OKB	OKB	11.41	3,721,400	1.42%	1401/04/2 13:59
86	کوانت	Quant	QNT	55.29	18,032,800	1.19%	1401/04/2 13:59
87	ثور چین	THORChain	RUNE	1.98	645,800	10.61%	1401/04/2 13:39
88	نئو	Neo	NEO	9.2	3,000,600	2.34%	1401/04/2 14:02
89	پکس گلد	PAX Gold	PAXG	1839.85	600,067,100	0.16%	1401/04/2 13:59
90	بیسیک اتنشن توکن	Basic Attention Token	BAT	0.3875	126,400	3.81%	1401/04/2 13:59
91	چیلیز	Chiliz	CHZ	0.096169	31,400	3.56%	1401/04/2 13:59
92	زیلیکا	Zilliqa	ZIL	0.040972	13,400	3.14%	1401/04/2 13:59
93	لوپرینگ	Loopring	LRC	0.397388	129,600	3.23%	1401/04/2 14:01
94	استیکس	Stacks	STX	0.394124	128,500	2.58%	1401/04/2 13:59
96	دیفای چین	DeFiChain	DFI	0.997471	325,300	0.81%	1401/04/2 14:01
97	دش	Dash	DASH	47.08	15,355,100	2.57%	1401/04/2 14:02
